"Jour","Entreprises","PME/PMI","Professionnels","Résidentiels","Total"
2019-12-19,"13844014713.0",38726715,144495,32019640,45146108399
2019-12-21,"9780195750.0",32627454,104920,36310692,41803332750
2020-01-02,"11821769552.0",41290866,149446,44644564,50023259222
2020-01-08,"14485211820.0",45224301,157601,40646702,49130286073
2020-01-09,"14311431782.0",45149021,157504,38264302,47943884981
2020-01-10,"14022929092.0",44706324,181522,40175752,48809506915
2020-01-15,"14588015534.0",45759859,171805,42061706,49136559899
2020-01-27,"14299797354.0",46978096,216989,46472296,51275447955
2020-02-17,"13672837933.0",44658231,178093,39948078,45260419750
2020-03-03,"14601770002.0",50203226,225832,51622529,51127292418
2020-03-28,"8250424898.0",31968781,103692,45168916,35804388710
2020-04-22,"11035729841.0",46361277,80672,28270719,31408618605
2020-04-25,"8134028304.0",40173291,67915,28019174,27201331647
2020-05-06,"11476278618.0",37222433,66426,27924948,30814464540
2020-05-12,"11858238840.0",38980623,290925,29980963,33852090107
2020-05-19,"11844017630.0",43707132,238419,25647756,30992302966
2020-05-29,"11776539056.0",55408498,222416,24844696,30307734419
2020-06-04,"12472202422.0",53205346,275151,24614977,31244830603
2020-06-14,"7782883385.0",39842091,189423,28571696,25964177052
2020-06-22,"12277178469.0",58596306,276032,26123609,31504882179
2020-07-09,"14317730240.0",90518685,282425,26673931,34392814718
2020-07-19,"8847684696.0",77825340,211557,28680907,27627096851
2020-07-26,"8703825240.0",76835385,219806,29284588,27487397427
2020-08-12,"12035455747.0",82592035,279573,30192194,32381711050
2020-08-16,"8080344068.0",58166974,214328,30147942,26255220634
2020-08-19,"12198465162.0",71347588,272108,29998334,31425576147
2020-08-27,"13411435287.0",71233588,291605,30017374,32956729029
2020-08-31,"12373471078.0",57082176,289050,31244512,31538255870
2020-09-06,"8307775673.0",50577844,261188,34216084,26796671703
2020-09-07,"12664330282.0",60793508,411541,31016017,32000427878
2020-09-10,"13875078337.0",63141089,436928,30296285,33370686540
2020-09-16,"14258671938.0",62709701,388397,33245179,34212454813
2020-09-20,"8597302663.0",44108261,253762,34966718,26968274367
2020-09-26,"9382510982.0",44593684,349328,41801726,30488734390
2020-10-11,"8489175043.0",38676641,251044,54872519,32953367805
2020-10-19,"13107493229.0",51628468,521705,60550586,41511046663
2020-10-24,"9573222649.0",41702955,293489,53790669,33180198468
2020-10-25,"8487760572.0",38536576,224504,59139398,32854834120
2020-10-31,"9453330737.0",38727474,261573,63351858,34142403623
2020-11-14,"9426528698.0",38031612,341788,69161338,34199463331
2020-12-05,"10478917389.0",47681757,616073,125998223,48891061409
2020-12-10,"14674026592.0",59606247,850305,122902192,54460980554
2020-12-14,"13431681041.0",53941538,745040,104883347,48505893336
2020-12-21,"12270012825.0",51836973,666306,99004437,45679236944
2020-12-22,"12318748433.0",51413065,600012,86873879,42794264870
2020-12-26,"8879625068.0",46175893,644666,129223069,47784210133
2020-12-27,"8441837608.0",44504207,611941,132928577,47283119109
2020-12-29,"10919359516.0",51107575,750320,127386731,50573049740
2021-01-11,"14389476326.0",2926575010,1089268,160809548,61549032936
2021-01-13,"14486136165.0",2627112879,972988,133532038,54710681668
2021-01-14,"14410205560.0",2605327142,1054959,122216224,52854881200
2021-01-21,"14179381716.0",2483266319,966223,116371603,50579235667
2021-01-24,"9809231868.0",2021943759,812637,145162322,49513642887
2021-02-22,"12898736312.0",2138800955,762337,98284542,42780162176
2021-03-18,"14016073312.0",2468998280,985699,123560413,48610283455
2021-03-29,"12720213099.0",2081904243,1756799,85054046,38642107926
2021-04-02,"12448148158.0",1905701453,1673508,69708067,35094887554
2021-04-12,"12871387148.0",2188589030,1636729,114569929,44487128472
2021-04-13,"13480103826.0",2212181630,1595981,113598616,44916593967
2021-04-28,"12934561526.0",1914830268,1241335,78509362,36251283600
2021-05-16,"8318509297.0",1352649100,1003373,83817680,30544852518
2021-06-18,"13700562539.0",2121464225,1914608,59880346,33642548739
2021-06-21,"13032387803.0",2035512725,1853888,60053618,32416276714
2021-06-23,"13502670075.0",2009878522,1822326,63608737,33145298849
2021-07-03,"10093183100.0",1650530555,1921699,64725636,28887384782
2021-07-08,"13617826816.0",2017423365,1953835,60936640,33211923671
2021-07-12,"12921279050.0",1989749792,1894056,61912026,32448394870
2021-07-21,"14232379804.0",2204639780,2093324,64274838,34710279188
2021-07-31,"9366525910.0",1664967778,2121685,65426106,28076831545
2021-08-03,"11425503559.0",1892390449,2092877,61539401,30526898878
2021-08-09,"10409551503.0",1775312938,2226734,62519832,28983480087
2021-08-10,"11045864588.0",1861831895,2290691,61963630,29944389943
2021-08-15,"8696886238.0",1602022891,2429066,67868270,27175824690
2021-08-29,"8648193328.0",1469021080,2708565,71311387,26860485297
2021-08-30,"12644640552.0",2000360853,2766911,67474485,32301830524
2021-09-13,"13165001584.0",2081175639,3320417,67142805,32669418687
2021-09-24,"13059492403.0",2014579663,3672722,68972290,32861925344
2021-09-26,"8771423748.0",1401891553,3556958,77272001,27029016413
2021-10-09,"9789478580.0",1664635575,4141159,99050640,31699217835
2021-10-12,"13746866956.0",2209143944,4314706,100817352,37950085527
2021-10-14,"13808481765.0",2269235883,4436587,109166358,39104466136
2021-10-22,"13285826439.0",2228658171,4671331,113971922,38763934568
2021-11-05,"13722299110.0",2370647437,5088849,161065607,44962677505
2021-12-01,"14796191655.0",2746472811,6025966,220858871,53012934741
2021-12-20,"13747947502.0",2822354990,6349524,253237650,55467087176
2021-12-23,"12951340836.0",2711080641,6492181,255748537,54694551577
2022-01-08,"10757827665.0",2344573942,6270351,250173828,48951108387
2022-01-17,"14420737182.0",2999522107,6307624,273039472,57040140294
2022-02-04,"13995399505.0",2700455546,6089892,219977539,50265576259
2022-03-03,"14152596950.0",2571493894,5101976,192900782,46238852363
2022-03-14,"13493295254.0",2557580859,4618340,194063192,45292008686
2022-03-31,"13858350674.0",2503311735,4329090,170795645,43016510992
2022-04-06,"13910916025.0",2478407404,4034407,193283394,44904220462
2022-04-08,"13415815857.0",2460187616,4138669,178183490,43438535408
2022-04-10,"9244297682.0",1877911121,3821502,194781706,37979580685
2022-04-18,"9056522645.0",1619337790,3083892,117749693,29448208721
2022-04-19,"12509376448.0",2127980946,3280048,117091884,35031454365
2022-04-21,"13101501306.0",2138825932,3285625,121223490,36116172132
2022-04-26,"13193587465.0",2183838738,3175341,120848125,36148151588
2022-05-17,"13855724205.0",2240614834,2687112,93943585,33388670929
2022-05-22,"9071848066.0",1570368820,2531193,107227240,27188622144
2022-06-04,"10145869934.0",1791076524,2613693,105136873,28993495025
2022-06-09,"13484666594.0",2130747832,2585817,97953500,32932080226
2022-07-01,"12978758604.0",2073752583,2612465,99715536,32215394691
2022-07-14,"11328733786.0",2005907226,2642229,107202275,31031177475
2022-07-15,"12093014888.0",2206358705,2756869,103492834,32547772983
2022-07-18,"14102621385.0",2486075283,2597797,108899456,35650757511
2022-07-23,"10569888373.0",1962503282,2700903,108028726,30199989508
2022-07-26,"13638798598.0",2306399837,2732158,100074781,33785530443
2022-08-01,"12014085743.0",2225959356,2693368,103605777,32007496442
2022-08-04,"12653712157.0",2327454202,2893986,104918634,33428126668
2022-08-09,"11738218628.0",2177071006,2871122,100763317,31448268710
2022-08-18,"11546750256.0",1971784668,2974420,95683062,29846669082
2022-08-23,"13103495381.0",2153936088,3120881,100767533,32364994064
2022-09-07,"13661601758.0",2178843993,3592310,108918733,33004735026
2022-09-15,"13642440497.0",2183218561,3913601,101942404,32730668230
2022-09-20,"13198595622.0",2110277560,3952565,107715535,32629070514
2022-09-23,"12731977536.0",2059334868,4191133,111378143,32358638630
2022-10-05,"13194130233.0",2089932503,4329129,124804610,33380685958
2022-10-06,"13159766044.0",2112086456,4444311,115925066,33163453803
2022-10-07,"12659456960.0",2068077908,4510084,120127274,32903671723
2022-10-12,"13124492828.0",2095043046,4496954,132867461,33861766597
2022-10-15,"9465749453.0",1649114951,4522135,132842905,28921335340
2022-10-18,"13117611990.0",2091936483,4639314,113580085,32665490695
2022-10-27,"12929311061.0",2013607648,4748707,114954515,32366889970
2022-11-04,"12466750368.0",2088861029,5224346,158444536,35821108302
2022-11-07,"12519422369.0",2186492176,5116401,168995688,36652918341
2022-11-15,"13237579866.0",2310937391,5542240,181477899,38819164115
2022-11-16,"13203188350.0",2267818866,5363961,193869061,38925168296
2022-11-18,"12776519077.0",2291675044,5731124,197674292,39417904401
2022-11-29,"13807820132.0",2589423914,6067025,255093512,45617292599
2022-12-02,"13563688739.0",2699505115,6669748,307120884,49373193924
2022-12-05,"13633755187.0",2818440507,6460391,326038680,50986395014
2022-12-10,"10616241889.0",2435315063,6691895,383560267,50342865158
2022-12-24,"8169940442.0",1765472234,5835910,237568048,35394079245
2023-01-06,"12655915833.0",5441602750,5547402,243771520,41995862592
2023-01-07,"9535695953.0",4522545694,5189365,269315851,38729414693
2023-01-10,"13717569754.0",6056807726,5671355,289802319,47179071427
2023-01-17,"14121892270.0",6560926644,5855396,346000279,51825203994
2023-01-22,"9991171523.0",5426759664,5596174,462397664,53097572424
2023-02-06,"13436393721.0",6242129817,5144472,335132779,49329498941
2023-02-15,"13570368513.0",5853565560,4723661,319543732,47206248989
2023-02-16,"13369458962.0",5761710732,4735571,297940899,46040120569
2023-02-22,"13327773279.0",5494274324,4463535,280009479,43725475000
2023-03-03,"13393530793.0",6147349515,4857575,356299610,49871144606
2023-03-08,"13487441843.0",5826599406,4383924,318573506,46486049185
2023-03-29,"12937944668.0",4970604272,3269808,229756985,38344749172
2023-04-02,"8631473561.0",3864624916,3244498,265467438,34841494810
2023-04-16,"8532177585.0",3737644785,2611600,245331549,33215930189
2023-04-17,"12272146954.0",4919007088,2834816,220430861,37607962798
2023-04-18,"12764042555.0",4889922937,2766758,206148745,37244876204
2023-04-23,"8329940203.0",3473850894,2401185,212573985,30455164739
2023-05-01,"7879459171.0",3229986064,2000338,177435698,27160843309
2023-05-04,"12705194951.0",4452128977,2314455,146587220,31972823129
2023-05-06,"9199786928.0",3636894008,2130448,156701709,27451697281
2023-05-18,"9214179343.0",3533090043,1932497,174094141,28882405391
2023-05-22,"11927905638.0",4333000679,2079661,150306195,30877069663
2023-05-25,"12607287743.0",4458846487,2066753,146048644,31647837636
2023-06-09,"12798878302.0",4726308232,2192787,139670799,31543694005
2023-06-15,"13361411233.0",4861644777,2075068,137828685,32107707358
2023-06-25,"9014562621.0",3583372928,1803533,158425433,26729308587
2023-06-27,"13352965231.0",4861171212,2075083,140768003,32307496874
2023-07-17,"12794811424.0",4790284541,2039275,147214167,32129769276
2023-07-25,"12739098774.0",4595133113,2133752,141374439,31602234225
2023-07-30,"8317145514.0",3415703451,1960202,153109574,25742677126
2023-08-04,"10602893928.0",4141260799,2297680,141515913,28743360699
2023-08-11,"10865000321.0",4418172794,2413018,143048565,29438227317
2023-08-15,"8926568515.0",3694587023,2145946,148010170,26519850161
2023-08-18,"11459117265.0",4594720052,2443552,149522982,30707282397
2023-08-19,"9536599396.0",4170187483,2338215,158120954,28418217896
2023-09-09,"10295548210.0",4191395405,2835384,163132296,29291747292
2023-09-14,"13287907207.0",4705584510,3114834,143615184,32003554364
2023-09-20,"13088404656.0",4514451455,3143209,154483602,31764353755
2023-10-06,"12374743359.0",4462638804,3734572,152682529,31335193933
2023-10-13,"12478741905.0",4480176991,3997550,150144032,31365971296
2023-10-20,"12297336781.0",4533778808,4395681,169006633,32610484226
2023-10-27,"12156463863.0",4572303554,4493760,202984877,34905482085
2023-11-11,"9211181006.0",4310232178,4993850,320653873,37422654080
2023-11-17,"12589592931.0",5295581980,5679086,278351994,40406310784
2023-11-26,"9220586329.0",4576337120,5541952,422078535,43435316887
2023-12-02,"10406032288.0",5497036074,6564698,464851315,48633291409
2023-12-10,"9023002300.0",4327941128,5758391,363355223,39882634183
2023-12-12,"13329696368.0",5624836413,6490270,292548098,42729205078
2023-12-17,"9373693160.0",4837727371,6097783,442347225,45178356985
2023-12-19,"13635169573.0",6496489805,7153353,416815910,51446114627
2023-12-20,"13197775477.0",6101580180,6731059,401516260,48907843960
2024-01-09,"14566135942.0",7242797461,6951695,565145136,59785150690
2024-01-12,"14074599636.0",7024648991,6912368,557356780,58459829807
2024-01-14,"10006704406.0",5439926543,5794541,600555851,53575170110
2024-01-23,"13813578359.0",6130756169,5840526,397181490,48407423298
2024-02-01,"13508887632.0",5776775810,5464230,359865597,45206057463
2024-02-03,"9831017700.0",4747546000,4872624,387506548,40845238437
2024-02-05,"13083392494.0",5870029049,5427610,379002842,45804615544
2024-02-10,"9715567920.0",4575174613,4685358,358076541,38940754250
2024-02-16,"12569289712.0",5124917204,4901353,296321436,39844172095
2024-02-22,"13202693962.0",5450571921,4987326,328891276,43045600654
2024-03-01,"12729341492.0",5528254456,5046318,370623424,44687753815
2024-03-02,"9764372792.0",4720030989,4638796,394091914,41167731659
2024-03-04,"12879051336.0",5749010138,4868304,393045941,46011664802
2024-03-12,"13345896920.0",5630146667,4879242,336891869,43385231865
2024-03-22,"12160148192.0",4678733888,3836518,225893846,34339931355
2024-04-23,"12968056875.0",5223670834,3680252,304146209,40652475791
2024-04-24,"12979574045.0",5206103650,3918354,318774076,40985055222
2024-04-27,"9238341741.0",4029187423,3460288,281927968,33445965740
2024-05-21,"12045835763.0",4438058731,3110805,182434427,31480337761
2024-05-31,"12029900009.0",4424567385,3224634,182360495,31662255450
2024-06-09,"8221843240.0",3188343029,2508838,186491821,25575142885
2024-06-18,"12934081992.0",4592215799,3051341,164938267,31734416776
2024-06-20,"12893418558.0",4577950021,3342388,167050718,31795598357
2024-06-27,"13576113152.0",4932166376,3114247,166746608,32897225644
2024-07-03,"12809206444.0",4470023705,3150706,173776362,31455035491
2024-07-04,"12922619743.0",4577210166,3172164,164529167,31620751279
2024-07-09,"13315610626.0",4784590707,3246999,165929897,32466123915
2024-07-16,"13089012807.0",4647173160,3148376,165580706,32142812231
2024-07-20,"10219134998.0",4315844478,3146333,181676705,29372959818
2024-07-25,"13180030241.0",4864288416,3290076,167316848,32569849402
2024-07-27,"9756055225.0",4114979124,3247668,179893480,28507125442
2024-07-29,"12415259683.0",4894007988,3228372,178211691,32322914414
2024-07-31,"13263027231.0",5222021410,3553251,188174423,34200525316
2024-08-06,"11498531874.0",4745158515,3423231,168116741,30820173241
2024-08-16,"10034729697.0",4257741605,3607408,163199046,28261270195
2024-08-21,"11437490983.0",4265301729,3361116,166803471,29559912754
2024-09-17,"12677102262.0",4520666388,4655034,173417082,32211957727
2024-09-27,"12189556966.0",4535143470,5587941,183994734,32533792647
2024-09-28,"9103439660.0",3731357939,4803194,208073071,29137749654
2024-10-03,"12765999032.0",4723545155,5801394,199431804,34310173093
2024-10-05,"9169384840.0",3852816838,5174718,228994323,30709879425
2024-10-09,"12785908998.0",4641850652,5758937,208638722,34338508238
2024-10-19,"9215558371.0",3772826569,5532715,223372037,29708171669
2024-10-26,"9256672460.0",3755310623,5718572,239841800,30104087018
2024-10-29,"12640484013.0",4606352572,6000734,230475095,34715365001
2024-11-03,"8316360637.0",3536910990,5876121,298700939,31340060559
2024-11-10,"8485887395.0",3653549978,6226823,300653330,31967642542
2024-11-14,"13453767949.0",5664279626,8421817,360935723,43497865131
2024-11-16,"9777878203.0",4651627904,7820497,401140136,39840000143
2024-11-17,"8866512157.0",4126473398,7286737,407682318,38305015817
2019-11-24,"9295687488.0",27481854,84247,34275010,41663409159
2019-11-28,"14443663909.0",35249435,116554,29090648,45520756644
2019-11-29,"13986237845.0",34839924,112794,29721109,45620573041
2019-12-09,"14200072874.0",39302794,146112,36699655,49691030934
