"Jour","Entreprises","PME/PMI","Professionnels","Résidentiels","Total"
2021-11-14,"9101925347.0",1712954472,5121176,163746671,37439779377
2021-11-16,"14451776880.0",2574189188,5497335,169993783,47011728232
2021-11-17,"14364660335.0",2513583306,5435735,176655550,46867800152
2021-11-19,"13842912690.0",2510364083,5606443,176345224,46766447028
2021-11-25,"14854228717.0",2786968538,5821893,212461851,52644240106
2021-11-26,"14370994686.0",2760082053,5900875,218747845,52833809018
2021-12-17,"14044354427.0",2761377649,6544717,230061706,53207898701
2021-12-22,"14050429781.0",2944301672,6521114,287753556,59285238714
2021-12-31,"9688404651.0",1999523433,6129552,173934504,40005158267
2022-01-01,"8101920972.0",1768565802,6564618,182031768,37429913584
2022-01-02,"8422687458.0",1818416007,5990615,190549826,38744742504
2022-01-04,"13755691189.0",2594800616,6251877,188605625,47132209688
2022-01-05,"14355972185.0",2781277538,6293791,232871204,52123038141
2022-01-09,"9796634995.0",2124414117,6049883,248752779,46812789156
2022-01-10,"14145736661.0",2880430268,6256184,237865719,52990489309
2022-01-14,"14618147854.0",3028707830,6477647,287361022,58822611937
2022-01-15,"11273523660.0",2564848791,6355171,302812234,55011666880
2022-01-20,"14964787859.0",2972053181,6250135,259710769,56375936715
2022-01-23,"10154569730.0",2270867445,5898714,286031874,51006672892
2022-01-25,"15229219696.0",3133290118,6283976,288535488,59583793223
2022-01-26,"15201475021.0",3104633886,6205440,299396375,59948286019
2022-02-11,"13989410905.0",2690737462,5736421,225011789,50339360802
2022-02-27,"9676448230.0",2054955719,5036209,237465444,43831805303
2022-03-01,"14306025881.0",2664140648,5199610,205480779,47988728541
2022-03-10,"14071160704.0",2567889721,4883366,189484931,45679743571
2022-03-13,"9378630321.0",1897080637,4577555,212705849,40349845401
2022-04-20,"13119620060.0",2155619045,3271584,127193507,36395453278
2022-04-28,"13187555680.0",2139934475,3155466,113549762,35167478352
2022-05-01,"8099798655.0",1504938915,2948306,125019589,28374060162
2022-05-09,"12717591716.0",2118655169,2722610,102490837,32681332491
2022-05-14,"9850776288.0",1741160885,2747360,105520265,28666729405
2022-06-02,"13705878884.0",2220766382,2635259,98301599,33509616493
2022-06-07,"13116517176.0",2144772945,2602203,98060707,32603565155
2022-06-08,"13536750821.0",2115372456,2554772,103650150,33124730563
2022-06-11,"10162009886.0",1767204305,2522727,106521077,28907167347
2022-06-14,"14099968216.0",2323704232,2531408,99209499,34228968622
2022-06-21,"14220549393.0",2335989681,2574184,98011854,34424338659
2022-06-29,"13758111962.0",2177520964,2455087,104365642,33342486785
2022-07-05,"14056032151.0",2299945262,2569537,100062593,34058144755
2022-07-17,"9710266901.0",1824315878,2533375,109938683,28940835270
2022-07-29,"12762868581.0",2215366964,2781074,99375052,32541377615
2022-07-31,"9138447811.0",1737932656,2657096,107360928,27638830322
2022-08-13,"9762880371.0",1962958731,2964188,107094246,29122272074
2022-08-24,"13423842578.0",2216303415,3152342,106347854,33103211148
2022-08-25,"13439039464.0",2220455555,3212230,103053400,33163409832
2022-09-21,"13176341476.0",2074694280,3888433,116597973,32716497075
2022-09-22,"13223839315.0",2110912303,4028446,109495015,32767360209
2022-11-03,"12765614991.0",2076647222,5126789,141641330,34782401509
2022-11-06,"8500280146.0",1587008309,4946121,197391890,32387354184
2022-11-08,"13164800399.0",2219451900,5249521,161674754,37066528501
2022-11-13,"8422817998.0",1596775520,5004115,194292358,31765547981
2022-11-24,"13588024765.0",2480527742,5875898,230330209,43340877455
2022-11-25,"12988020670.0",2400666922,5951397,228528639,42241998684
2022-11-28,"13006194547.0",2483123560,5829393,242890237,43382926242
2022-12-13,"14554412019.0",3117128581,7201828,407485202,58677319032
2022-12-14,"14207159375.0",2920614603,6905536,381054632,55120789622
2022-12-31,"8040184215.0",4099494339,5821003,240633332,35117258318
2023-01-02,"10351751902.0",4814748442,5133937,234734228,38162861482
2023-01-27,"13922204937.0",6869723681,6034719,406262055,55968382058
2023-01-29,"9798457239.0",5206804769,5283959,430207065,50187155643
2023-02-12,"9309420192.0",4672024212,4631348,363295988,44090702075
2023-02-19,"8778992709.0",4001852685,4054645,273633857,36440827609
2023-02-21,"13361638639.0",5540636742,4446221,271296818,43765950671
2023-02-23,"13398967265.0",5619699596,4575935,283040530,44752121912
2023-04-22,"9171375365.0",3917381011,2570884,209071581,31736117619
2023-04-26,"12788752969.0",4760783218,2573264,207303264,36435159257
2023-05-02,"11905322062.0",4512157935,2359268,160906080,32375602056
2023-05-05,"12262630466.0",4360457487,2418518,145438291,31268980512
2023-05-08,"8634646425.0",3323365721,1895364,162363804,26787202730
2023-05-12,"12325809945.0",4550296564,2529100,165266385,33146640534
2023-05-27,"9253483642.0",3708028831,1865484,152644884,27071255080
2023-05-29,"9023457325.0",3496404673,1633398,152532571,26518168618
2023-06-08,"13300314291.0",4816326737,2066239,137734164,32009329988
2023-06-22,"13317838059.0",4771221693,2224833,141263219,32261534170
2023-06-23,"12798054454.0",4656617845,2161241,141800266,31520435888
2023-06-29,"13504987186.0",4974282134,2232314,142469509,32781034915
2023-07-06,"13433848928.0",4850183300,2176578,142631876,32586061663
2023-07-09,"9264757682.0",3761469689,1959459,162472042,27749139186
2023-07-10,"13333200888.0",5012825867,2089316,152795400,33356413736
2023-07-11,"14132432067.0",5247837902,2221050,151030542,34649752111
2023-07-22,"9749491322.0",4125556061,2088315,152465970,28309836579
2023-08-01,"11480842916.0",4410002373,2250662,141610582,30158710674
2023-08-02,"11511990470.0",4430609438,2257550,148887402,30498064046
2023-08-03,"11237025971.0",4321184914,2317649,142486944,29883720848
